"Class","Order","Family","Species","Stock","Year of first stock assessment","Initial year","Region","Habitat","Mean ex vessel price per kg","Maximum landings","Fishbase length","FMP","FMP.name"
"Actinopterygii","Perciformes","Rachycentridae","Rachycentron canadum","GoMex cobia",2001,1960,"USEC-SE","reef",2.36,166.6,200,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Rachycentridae","Rachycentron canadum","sAtl cobia",2013,1960,"USEC-SE","reef",2.06,30.8,200,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Sciaenidae","Atractoscion nobilis","USWC California white seabass",2016,1960,"USWC-48","demersal",1.55,1554.1,166,0,
"Actinopterygii","Perciformes","Sciaenidae","Cynoscion arenarius","USEC-SE SEATROUT, SAND",,1960,"USEC-SE","demersal",0.41,1176.1,63.5,,
"Actinopterygii","Perciformes","Sciaenidae","Cynoscion nebulosus","Mississippi spotted sea trout",2016,1960,"USEC-SE","demersal",1.1,571.4,100,0,
"Actinopterygii","Perciformes","Sciaenidae","Cynoscion nebulosus","USEC-NE SEATROUT, SPOTTED",,1960,"USEC-NE","demersal",1.42,89.2,100,,
"Actinopterygii","Perciformes","Sciaenidae","Cynoscion nebulosus","USEC-SE SEATROUT, SPOTTED",,1960,"USEC-SE","demersal",1.07,3802.8,100,,
"Actinopterygii","Perciformes","Sciaenidae","Cynoscion regalis","USEC weakfish",1991,1960,"USEC-NE","demersal",0.53,16312.4,98,0,
"Actinopterygii","Perciformes","Sciaenidae","Genyonemus lineatus","USWC-48 CROAKER, PACIFIC WHITE",,1960,"USWC-48","benthopelagic",0.61,1484.8,41,,
"Actinopterygii","Perciformes","Sciaenidae","Leiostomus xanthurus","USEC-NE SPOT",,1960,"USEC-NE","demersal",0.7,3069.2,36,,
"Actinopterygii","Perciformes","Sciaenidae","Leiostomus xanthurus","USEC-SE SPOT",,1960,"USEC-SE","demersal",0.41,4923.8,36,,
"Actinopterygii","Perciformes","Sciaenidae","Menticirrhus saxatilis","USEC-NE KINGFISH, NORTHERN",,2007,"USEC-NE","demersal",1.6,0.3,46,,
"Actinopterygii","Perciformes","Sciaenidae","Micropogonias undulatus","USEC Atlantic croaker",2003,1960,"USEC-NE","demersal",0.52,13532.1,55,0,
"Actinopterygii","Perciformes","Sciaenidae","Micropogonias undulatus","USEC-SE CROAKER, ATLANTIC",,1960,"USEC-SE","demersal",0.29,18265.7,55,,
"Actinopterygii","Perciformes","Sciaenidae","Pogonias cromis","USEC-NE DRUM, BLACK",,1960,"USEC-NE","demersal",0.69,219.8,170,,
"Actinopterygii","Perciformes","Sciaenidae","Pogonias cromis","USEC-SE DRUM, BLACK",,1960,"USEC-SE","demersal",1.05,4877.2,170,,
"Actinopterygii","Perciformes","Sciaenidae","Sciaenops ocellatus","GoMex red drum",2000,1960,"USEC-SE","demersal",0.9,6408,155,1,"Red Drum Fishery of the Gulf of Mexico"
"Actinopterygii","Perciformes","Sciaenidae","Sciaenops ocellatus","USNE midAtl red drum",2009,1960,"USEC-NE","demersal",1.21,175.2,155,0,
"Actinopterygii","Perciformes","Sciaenidae","Sciaenops ocellatus","USSE sAtl red drum",2009,1960,"USEC-SE","demersal",0.67,125,155,0,
"Actinopterygii","Perciformes","Sciaenidae","Seriphus politus","USWC-48 QUEENFISH",,1974,"USWC-48","demersal",0.5,47.3,30,,
"Actinopterygii","Perciformes","Scombridae","Acanthocybium solandri","USEC-NE WAHOO",,1983,"USEC-NE","pelagic",4.02,8.9,250,,
"Actinopterygii","Perciformes","Scombridae","Acanthocybium solandri","USEC-SE WAHOO",,1974,"USEC-SE","pelagic",2.98,163.2,250,,
"Actinopterygii","Perciformes","Scombridae","Acanthocybium solandri","USWC-48 WAHOO",,1960,"USWC-48","pelagic",0.76,14.6,250,,
"Actinopterygii","Perciformes","Scombridae","Auxis thazard","USEC-NE MACKEREL, FRIGATE",,1960,"USEC-NE","pelagic",0.29,74.8,65,,
"Actinopterygii","Perciformes","Scombridae","Scomber japonicus","USEC-NE MACKEREL, CHUB",,1960,"USEC-NE","pelagic",0.3,1984.2,64,,
"Actinopterygii","Perciformes","Scombridae","Scomber japonicus","USEC-SE MACKEREL, CHUB",,1995,"USEC-SE","pelagic",1.18,121.6,64,,
"Actinopterygii","Perciformes","Scombridae","Scomber japonicus","USWC Pacific mackerel",2004,1960,"USWC-48","pelagic",0.13,35256.5,64,1,"Coastal Pelagic Species"
"Actinopterygii","Perciformes","Scombridae","Scomberomorus cavalla","GoMex king mackerel",1983,1960,"USEC-SE","reef",0.89,2896,184,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Scombridae","Scomberomorus cavalla","sAtl king mackerel",1983,1960,"USEC-SE","reef",0.89,2854,184,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Scombridae","Scomberomorus maculatus","GoMex Spanish mackerel",1996,1960,"USEC-SE","pelagic",0.39,3880.2,91,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Scombridae","Scomberomorus maculatus","sAtl Spanish mackerel",1996,1960,"USEC-SE","pelagic",0.48,5015.3,91,1,"Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic"
"Actinopterygii","Perciformes","Scombridae","Scomberomorus sierra","USWC-48 PACIFIC SIERRA",,1960,"USWC-48","pelagic",0.21,1.9,99,,
"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","USNE Atlantic mackerel",1977,1960,"USEC-NE","pelagic",0.21,10021.3,60,1,"Atlantic Mackerel, Squid and Butterfish"
"Actinopterygii","Perciformes","Serranidae","Centropristis ocyurus","USEC-SE SEA BASS, BANK",,1991,"USEC-SE","demersal",1.83,1.3,30,,
"Actinopterygii","Perciformes","Serranidae","Centropristis philadelphica","USEC-SE SEA BASS, ROCK",,1992,"USEC-SE","reef",2.03,26.3,30,,
"Actinopterygii","Perciformes","Serranidae","Centropristis striata","sAtl black sea bass",1995,1960,"USEC-SE","reef",1.22,740.2333335115,66,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Serranidae","Centropristis striata","USEC-SE SEA BASS, BLACK",,1960,"USEC-SE","reef",1.3,292.3,66,,
"Actinopterygii","Perciformes","Serranidae","Centropristis striata","USNE black sea bass",1994,1960,"USEC-NE","reef",0.65,9899.3999999834,66,1,"Summer Flounder, Scup and Black Sea Bass"
"Actinopterygii","Perciformes","Serranidae","Cephalopholis cruentata","USEC-SE GRAYSBY",,1991,"USEC-SE","reef",4.74,8.2,42.6,,
"Actinopterygii","Perciformes","Serranidae","Diplectrum formosum","USEC-NE SAND PERCH",,1960,"USEC-NE","reef",0.14,11.9,30,,
"Actinopterygii","Perciformes","Serranidae","Diplectrum formosum","USEC-SE SAND PERCH",,1960,"USEC-SE","reef",0.97,127.2,30,,
"Actinopterygii","Perciformes","Serranidae","Diplectrum formosum","USWC-48 SAND PERCH",,1973,"USWC-48","reef",0.61,137.4,30,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus adscensionis","USEC-SE HIND, ROCK",,1984,"USEC-SE","demersal",6.35,13.9,61,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus analogus","USWC-48 SPOTTED CABRILLA",,1960,"USWC-48","reef",0.33,260.5,114,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus drummondhayi","USEC-SE HIND, SPECKLED",,1980,"USEC-SE","demersal",4.3,47.4,110,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus flavolimbatus","GoMex yellowedge grouper",2011,1981,"USEC-SE","demersal",5.12,716.4,115,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Serranidae","Epinephelus fulvus","USEC-SE CONEY",,1996,"USEC-SE","reef",0.44,12.1,41,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus guttatus","USEC-SE HIND, RED",,1984,"USEC-SE","reef",4.54,34.6,76,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus inermis","USEC-SE GROUPER, MARBLED",,1986,"USEC-SE","reef",3.56,19.7,91,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus itajara","USEC-SE GROUPER, GOLIATH",,1960,"USEC-SE","reef",0.46,128.9,250,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus morio","GoMex red grouper",1991,1960,"USEC-SE","reef",3.55,4001.5,125,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Serranidae","Epinephelus morio","sAtl red grouper",2010,1960,"USEC-SE","reef",5,293,125,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Serranidae","Epinephelus mystacinus","USEC-SE GROUPER, MISTY",,1990,"USEC-SE","bathy-",4.84,2,160,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus nigritus","USEC-SE GROUPER, WARSAW",,1960,"USEC-SE","demersal",1.64,162.6,230,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus niveatus","sAtl snowy grouper",2004,1974,"USEC-SE","demersal",3.78,254.6,122,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Serranidae","Epinephelus niveatus","USEC-NE GROUPER, SNOWY",,1999,"USEC-NE","demersal",4.99,0.8,122,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus niveatus","USEC-SE GROUPER, SNOWY",,1985,"USEC-SE","demersal",4.78,128.5,122,,
"Actinopterygii","Perciformes","Serranidae","Epinephelus striatus","USEC-SE GROUPER, NASSAU",,1986,"USEC-SE","reef",3.66,7,122,,
"Actinopterygii","Perciformes","Serranidae","Hemanthias leptus","USEC-SE BASS, LONGTAIL",,1994,"USEC-SE","demersal",2.39,0.8,50,,
"Actinopterygii","Perciformes","Serranidae","Mycteroperca bonaci","USSE black grouper",2010,1960,"USEC-SE","reef",4.72,763.3,150,1,"Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Serranidae","Mycteroperca interstitialis","USEC-SE GROUPER, YELLOWMOUTH",,1999,"USEC-SE","reef",5.12,0.4,84,,
"Actinopterygii","Perciformes","Serranidae","Mycteroperca microlepis","GoMex gag grouper",1994,1960,"USEC-SE","reef",4.56,793.8,145,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Serranidae","Mycteroperca microlepis","sAtl gag grouper",1994,1960,"USEC-SE","reef",4.12,445.1,145,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Serranidae","Mycteroperca phenax","sAtl scamp",1998,1980,"USEC-SE","reef",4.36,224.7,107,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Serranidae","Mycteroperca phenax","USEC-SE SCAMP",,1985,"USEC-SE","reef",5.58,174,107,,
"Actinopterygii","Perciformes","Serranidae","Mycteroperca venenosa","USEC-SE GROUPER, YELLOWFIN",,1984,"USEC-SE","reef",4.36,195.9,100,,
"Actinopterygii","Perciformes","Serranidae","Paranthias furcifer","USEC-SE CREOLE-FISH",,1998,"USEC-SE","reef",2.15,2.4,30,,
"Actinopterygii","Perciformes","Sparidae","Archosargus probatocephalus","USEC-NE SHEEPSHEAD",,1960,"USEC-NE","reef",0.8,12.3,91,,
"Actinopterygii","Perciformes","Sparidae","Archosargus probatocephalus","USEC-SE SHEEPSHEAD",,1960,"USEC-SE","reef",0.63,2280.2,91,,
"Actinopterygii","Perciformes","Sparidae","Calamus bajonado","USEC-SE PORGY, JOLTHEAD",,1993,"USEC-SE","reef",1.86,9.7,76,,
"Actinopterygii","Perciformes","Sparidae","Calamus leucosteus","USEC-SE PORGY, WHITEBONE",,1988,"USEC-SE","demersal",1.98,5,46,,
"Actinopterygii","Perciformes","Sparidae","Calamus nodosus","USEC-SE PORGY, KNOBBED",,1985,"USEC-SE","reef",1.51,39.7,54.4,,
"Actinopterygii","Perciformes","Sparidae","Diplodus holbrookii","USEC-SE PINFISH, SPOTTAIL",,1986,"USEC-SE","demersal",1.13,18.4,46,,
"Actinopterygii","Perciformes","Sparidae","Lagodon rhomboides","USEC-SE PINFISH",,1960,"USEC-SE","demersal",1.93,464.1,40,,
"Actinopterygii","Perciformes","Sparidae","Pagrus pagrus","sAtl red porgy",1992,1978,"USEC-SE","benthopelagic",2.4,349.9,91,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Sparidae","Pagrus pagrus","USEC-SE PORGY, RED",,1992,"USEC-SE","benthopelagic",2.5,176.4,91,,
"Actinopterygii","Perciformes","Sparidae","Stenotomus caprinus","USEC-SE PORGY, LONGSPINE",,2011,"USEC-SE","demersal",2.58,0.2,30,,
"Actinopterygii","Perciformes","Sparidae","Stenotomus chrysops","USNE scup",1995,1960,"USEC-NE","demersal",1.09,166.5,46,1,"Summer Flounder, Scup and Black Sea Bass"
"Actinopterygii","Perciformes","Stichaeidae","Cebidichthys violaceus","USWC-48 PRICKLEBACK, MONKEYFACE",,1991,"USWC-48","demersal",6.29,0.4,76,,
"Actinopterygii","Perciformes","Stromateidae","Peprilus alepidotus","USEC-NE HARVESTFISH",,1960,"USEC-NE","benthopelagic",0.75,244.1,30,,
"Actinopterygii","Perciformes","Stromateidae","Peprilus alepidotus","USEC-SE HARVESTFISH",,1960,"USEC-SE","benthopelagic",0.87,332.6,30,,
"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","USWC-48 POMPANO, PACIFIC",,1960,"USWC-48","benthopelagic",0.78,122.2,28,,
"Actinopterygii","Perciformes","Stromateidae","Peprilus triacanthus","USNE butterfish",1983,1960,"USEC-NE","benthopelagic",0.34,8837,30,1,"Atlantic Mackerel, Squid and Butterfish"
"Actinopterygii","Perciformes","Trichiuridae","Trichiurus lepturus","USEC-SE CUTLASSFISH, ATLANTIC",,1960,"USEC-SE","benthopelagic",1.6,375.1,234,,
"Actinopterygii","Perciformes","Uranoscopidae","Astroscopus guttatus","USEC-NE STARGAZER, NOTHERN",,2009,"USEC-NE","demersal",0.57,0.3,59,,
"Actinopterygii","Perciformes","Zoarcidae","Macrozoarces americanus","USEC-NE POUT, OCEAN",,1960,"USEC-NE","demersal",0.19,2194.6,110,,
"Actinopterygii","Pleuronectiformes","Achiridae","Trinectes maculatus","USEC-NE HOGCHOKER",,1960,"USEC-NE","demersal",0.09,8.9,20,,
"Actinopterygii","Pleuronectiformes","Cynoglossidae","Paraplagusia bilineata","USWC-48 SOLE, ROCK",,1976,"USWC-48","demersal",0.72,244,30,,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","Pacific sanddab - Pacific Coast",2013,1960,"USWC-48","demersal",0.64,1269.4,41,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys californicus","USWC-48 HALIBUT, CALIFORNIA",,1960,"USWC-48","demersal",3.9,606.7,152,,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys dentatus","USNE summer flounder",1990,1960,"USEC-NE","demersal",1.25,18077.6,94,1,"Summer Flounder, Scup and Black Sea Bass"
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys lethostigma","North Carolina southern flounder",2009,1978,"USEC-SE","demersal",3.2,2213,83,0,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys lethostigma","USEC-NE FLOUNDER, SOUTHERN",,2003,"USEC-NE","demersal",3.08,0.7,83,,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys lethostigma","USEC-SE FLOUNDER, SOUTHERN",,1978,"USEC-SE","demersal",2.25,85.2,83,,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys oblongus","USEC-NE FLOUNDER, FOURSPOT",,2006,"USEC-NE","demersal",0.93,13.2,41,,
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Xystreurys liolepis","USWC-48 SOLE, FANTAIL",,1979,"USWC-48","demersal",1.14,1.7,63.5,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes evermanni","BSAI Kamchatka flounder",2012,1960,"USWC-AK","demersal",0.46,21153,100,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","BSAI arrowtooth flounder",1988,1981,"USWC-AK","demersal",0.17,476.37936871,84,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","GOA arrowtooth flounder",1996,1973,"USWC-AK","demersal",0.13,2329.61295105,84,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","USWC arrowtooth flounder",2007,1960,"USWC-48","demersal",0.23,5804.5,84,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta jordani","USWC-AK SOLE, PETRALE",,1985,"USWC-AK","demersal",0.87,116,53,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta jordani","USWC petrale sole",1984,1960,"USWC-48","demersal",0.6,4209,53,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus cynoglossus","GoMaine witch flounder",1994,1960,"USEC-NE","demersal",1.24,6652.8,60,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus zachirus","GOA rex sole",2004,1982,"USWC-AK","demersal",0.43,5740.8,60,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus zachirus","Rex sole - Pacific Coast",2013,1960,"USWC-48","demersal",0.55,4620.1,60,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides elassodon","BSAI flathead sole",1998,1984,"USWC-AK","demersal",0.23,17020.6438365603,52,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides elassodon","GOA flathead sole",2003,1960,"USWC-AK","demersal",0.15,2556.4561634397,52,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides elassodon","USWC-48 SOLE, FLATHEAD",,1978,"USWC-48","demersal",0.7,35.5,52,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides platessoides","GeBank/GoMaine American plaice",1992,1960,"USEC-NE","demersal",0.96,15131.9,82.6,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus hippoglossus","GeBank/GoMaine Atlantic halibut",2008,1960,"USEC-NE","demersal",1.83,243.8,470,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus stenolepis","Pacific halibut (coastwide)",1960,1960,"USWC-AK","demersal",0.31,27539.6,258,0,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta isolepis","USWC-48 SOLE, BUTTER",,1981,"USWC-48","demersal",0.45,43.6,55,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta bilineata","GOA southern rock sole",2012,1981,"USWC-AK","demersal",0.39,1266.5109635848,58,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta polyxystra","BSAI northern rock sole",1992,1981,"USWC-AK","demersal",0.3,42707.78801885,69,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta polyxystra","GOA northern rock sole",2012,1981,"USWC-AK","demersal",0.39,2721.350757556,69,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda aspera","BSAI yellowfin sole",1987,1977,"USWC-AK","demersal",0.37,32.9,49,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda ferruginea","CCod/GoMaine yellowtail flounder",1999,1960,"USEC-NE","demersal",0.72,10733.6666559355,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda ferruginea","GeBank yellowtail flounder",1989,1960,"USEC-NE","demersal",0.58,12602.0666559355,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda ferruginea","sNEng/midAtl yellowtail flounder",1989,1960,"USEC-NE","demersal",0.57,14791.3666600673,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus bathybius","USWC-48 SOLE, DEEPSEA",,2011,"USWC-48","bathy-",1.13,0.1,47,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus pacificus","GOA dover sole",2003,1983,"USWC-AK","demersal",0.26,2221.5,76,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus pacificus","USWC dover sole",1984,1960,"USWC-48","demersal",0.33,20944.3,76,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys vetulus","USWC-AK SOLE, ENGLISH",,1985,"USWC-AK","demersal",0.3,40.2,49,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys vetulus","USWC English sole",1985,1960,"USWC-48","demersal",0.36,8082.4,49,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys stellatus","USWC-AK FLOUNDER, STARRY",,1981,"USWC-AK","demersal",0.35,877.1,91,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys stellatus","USWC starry flounder (northern)",2005,1970,"USWC-48","demersal",0.55,1096.5,91,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys stellatus","USWC starry flounder (southern)",2005,1970,"USWC-48","demersal",0.96,212.6,91,1,"Pacific Coast Groundfish"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes quadrituberculatus","BSAI Alaska plaice",1996,1984,"USWC-AK","demersal",0.17,61638,87,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys coenosus","USWC-48 SOLE, C-O",,1976,"USWC-48","demersal",0.29,1,36,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","USWC-48 SOLE, CURLFIN",,1981,"USWC-48","demersal",0.74,7.5,37,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys verticalis","USWC-48 TURBOT, HORNYHEAD",,2010,"USWC-48","demersal",3.76,4.9,37,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys melanostictus","USWC-48 SOLE, SAND",,1960,"USWC-48","demersal",1.08,920.1,63,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys melanostictus","USWC-AK SOLE, SAND",,1996,"USWC-AK","demersal",0.65,4.5,63,,
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes americanus","GeBank winter flounder",1999,1960,"USEC-NE","demersal",1.08,6715.5428521062,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes americanus","GoMaine winter flounder",2003,1960,"USEC-NE","demersal",1.06,2380.1857159526,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes americanus","sNEng/midAtl winter flounder",1996,1960,"USEC-NE","demersal",0.83,9244.8714319052,64,1,"Northeast Multispecies"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius hippoglossoides","BSAI Greenland halibut",1987,1964,"USWC-AK","benthopelagic",0.51,8544.1,80,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius hippoglossoides","USEC-NE HALIBUT, GREENLAND",,1969,"USEC-NE","benthopelagic",0.57,10.6,80,,
"Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus aquosus","USEC-NE FLOUNDER, WINDOWPANE",,1964,"USEC-NE","demersal",0.94,4206.5,45.7,,
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","Alaska sablefish",1987,1960,"USWC-AK","bathy-",1.04,33959.6,120,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska"
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","USWC sablefish",1984,1960,"USWC-48","bathy-",0.39,23554.8,120,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys marmoratus","USWC cabezon (nCal)",2003,1960,"USWC-48","demersal",6.09,148.575,99,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys marmoratus","USWC cabezon (OR)",2009,1979,"USWC-48","demersal",5.31,46.3,99,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys marmoratus","USWC cabezon (sCal)",2003,1960,"USWC-48","demersal",6.09,21.225,99,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus lumpus","USEC-NE LUMPFISH",,1989,"USEC-NE","benthopelagic",0.33,3.5,61,,
"Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus americanus","USEC-NE SEA RAVEN",,1991,"USEC-NE","demersal",1.52,5.7,64,,
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos decagrammus","USWC-48 GREENLING, KELP",,1981,"USWC-48","demersal",9.32,23.3,61,,
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos decagrammus","USWC kelp greenling (OR)",2005,1968,"USWC-48","demersal",7.6,53.5,61,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","USWC-AK LINGCOD",,1960,"USWC-AK","demersal",1.01,1096,152,,
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","USWC lingcod (northern)",1994,1960,"USWC-48","demersal",0.33,3570.4,152,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","USWC lingcod (southern)",1999,1960,"USWC-48","demersal",0.47,1734.4,152,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus monopterygius","BSAI atka mackerel",1986,1970,"USWC-AK","demersal",0.38,30.3787756143,56.5,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Scorpaeniformes","Scorpaenidae","Neomerinthe hemingwayi","USEC-SE SCORPIONFISH, SPINYCHEEK",,1994,"USEC-SE","demersal",2.36,0.7,40,,
"Actinopterygii","Scorpaeniformes","Scorpaenidae","Pterois volitans","USEC-SE LIONFISH",,2011,"USEC-SE","reef",9.92,6.3,38,,
"Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena guttata","USWC California scorpionfish (southern)",2005,1979,"USWC-48","demersal",3.38,101.2,43,1,"Pacific Coast Groundfish"
"Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena plumieri","USEC-SE SCORPIONFISH, SPOTTED",,2001,"USEC-SE","reef",3.46,1,45,,
"Actinopterygii","Scorpaeniformes","Sebastidae","Helicolenus dactylopterus","USEC-NE ROSEFISH, BLACKBELLY",,1994,"USEC-NE","bathy-",1.26,0.8,47,,
